Year,Player,Position,Age,School,Height,Weight,40 Yard Dash,Vertical,Bench Reps,Broad Jump,3Cone,Shuttle,Round,Team,Conference
2020,Stanford Samuels,CB,N/A,Florida State,6.1 ft,187,4.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ACC
2020,Mykal Walker,LB,N/A,Fresno State,6.3 ft,230,4.65,33,20,122,7.09,4.25,4,Atlanta Falcons,ACC
2020,Netane Muti,OL,N/A,Fresno State,6.3 ft,315,N/A,N/A,44,N/A,N/A,N/A,6,Denver Broncos,ACC
2020,Andrew Thomas,OL,21,Georgia,6.5 ft,315,5.22,30.5,21,109,7.58,4.66,1,New York Giants,SEC
2020,Isaiah Wilson,OL,21,Georgia,6.6 ft,350,5.32,29,26,110,8.26,5.07,1,Tennessee Titans,SEC
2020,D'Andre Swift,RB,21,Georgia,5.8 ft,212,4.48,35.5,N/A,121,N/A,N/A,2,Detroit Lions,SEC
2020,Solomon Kindley,OL,N/A,Georgia,6.3 ft,337,N/A,N/A,N/A,N/A,N/A,N/A,4,Miami Dolphins,SEC
2020,Charlie Woerner,TE,N/A,Georgia,6.5 ft,244,4.78,34.5,21,120,7.18,4.46,4,San Franciscso 49ers,SEC
2020,Brian Herrien,RB,N/A,Georgia,5.11 ft,209,4.62,38.5,18,126,7.12,4.4,N/A,N/A,SEC
2020,J.R. Reed,S,N/A,Georgia,6.1 ft,202,4.54,34,15,130,N/A,N/A,N/A,N/A,SEC
2020,Kindle Vildor,CB,N/A,Georgia Southern,5.10 ft,191,4.44,39.5,22,133,7.14,4.28,5,Chicago Bears,Sun Belt
2020,Cole McDonald,QB,N/A,Hawaii,6.3 ft,215,4.58,36,N/A,121,7.13,4.52,7,Tennessee Titans,MW
2020,Joshua Jones,OL,22,Houston,6.5 ft,319,5.27,28.5,24,109,N/A,N/A,3,Arizona Cardinals,The American
2020,James Robinson,RB,N/A,Illinois State,5.9 ft,219,4.64,40,24,125,7.03,4.19,N/A,N/A,MVC
2020,Simon Stepaniak,OL,N/A,Indiana,6.4 ft,313,N/A,N/A,37,N/A,N/A,N/A,6,Green Bay Packers,Big 10
2020,Tristan Wirfs,OL,21,Iowa,6.5 ft,320,4.85,36.5,24,121,7.65,4.68,1,Tampa Bay Buccaneers,Big 10
2020,Michael Ojemudia,CB,22,Iowa,6.1 ft,200,4.45,36,N/A,122,6.87,4.21,3,Denver Broncos,Big 10
2020,Geno Stone,S,N/A,Iowa,5.10 ft,207,4.62,33.5,12,116,N/A,N/A,7,Baltimore Ravens,Big 10
2020,Nate Stanley,QB,N/A,Iowa,6.4 ft,235,4.81,28.5,N/A,108,7.26,4.48,7,Minnesota Vikings,Big 10
2020,Steven Wirtel,LS,N/A,Iowa State,6.4 ft,235,4.76,26,N/A,120,7.12,4.28,1,N/A,Big 10
2020,Azur Kamara,LB,N/A,Kansas,6.3 ft,245,4.59,28,13,121,7.2,4.46,N/A,N/A,Big 12
2020,Logan Stenberg,OL,N/A,Kentucky,6.6 ft,317,5.3,26,N/A,104,8,4.83,4,Detroit Lions,SEC
2020,L'Jarius Sneed,S,N/A,Louisiana Tech,6.1 ft,192,4.37,41,12,131,N/A,N/A,4,Kansas City Chiefs,C-USA
2020,Amik Robertson,CB,N/A,Louisiana Tech,5.8 ft,187,N/A,N/A,N/A,N/A,N/A,N/A,4,Las Vegas Raiders,C-USA
2020,Robert Hunt,OL,23,Louisiana-Lafayette,6.5 ft,323,N/A,N/A,N/A,N/A,N/A,N/A,2,Miami Dolphins,Sun Belt
2020,Patrick Queen,LB,20,LSU,6.1 ft,229,4.5,35,18,125,N/A,N/A,1,Baltimore Ravens,SEC
2020,Justin Jefferson,WR,20,LSU,6.1 ft,202,4.43,37.5,N/A,126,N/A,N/A,1,Minnesota Vikings,SEC
2020,Jacob Phillips,LB,20,LSU,6.3 ft,229,4.66,39,N/A,126,7.38,4.33,3,Cleveland Browns,SEC
2020,Damien Lewis,OL,22,LSU,6.2 ft,327,5.24,30,27,108,N/A,N/A,3,Seattle Seahawks,SEC
2020,Rashard Lawrence II,DL,N/A,LSU,6.2 ft,308,5.07,N/A,22,N/A,8.03,N/A,4,Arizona Cardinals,SEC
2020,Stephen Sullivan,TE,N/A,LSU,6.5 ft,248,4.66,36.5,N/A,123,7.51,4.62,7,Seattle Seahawks,SEC
2020,Thaddeus Moss,TE,N/A,LSU,6.2 ft,250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SEC
2020,Anthony McFarland,RB,N/A,Maryland,5.8 ft,208,4.44,29.5,N/A,116,N/A,N/A,4,Pittsburgh Steelers,ACC
2020,Javon Leake,RB,N/A,Maryland,6.1 ft,215,4.65,34,N/A,125,N/A,N/A,N/A,N/A,ACC
2020,Patrick Taylor,RB,N/A,Memphis,6.1 ft,217,4.57,34,15,123,N/A,4.34,N/A,N/A,C-USA
2020,Shaquille Quarterman,LB,N/A,Miami,6.1 ft,234,4.74,31,23,120,N/A,N/A,4,Jacksonville Jaguars,ACC
2020,K.J. Osborn,WR,N/A,Miami,5.11 ft,203,4.48,37.5,18,123,7,4.35,5,Minnesota Vikings,ACC
2020,Jeff Thomas,WR,N/A,Miami,5.9 ft,170,4.45,36.5,N/A,125,N/A,N/A,N/A,N/A,ACC
2020,Michael Pinckney,LB,N/A,Miami,5.11 ft,235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ACC
2020,Trevon Hill,DL,N/A,Miami,6.3 ft,248,4.89,28,N/A,113,N/A,N/A,N/A,N/A,ACC
2020,Cesar Ruiz,OL,20,Michigan,6.3 ft,307,5.08,33,28,113,7.91,4.64,1,New Orleans Saints,Big 10
2020,Josh Uche,LB,21,Michigan,6.1 ft,245,N/A,N/A,18,N/A,N/A,N/A,2,New England Patriots,Big 10
2020,Khaleke Hudson,LB,N/A,Michigan,5.11 ft,224,4.56,33,30,120,N/A,N/A,5,Washington Redskins,Big 10
2020,Donovan Peoples-Jones,WR,N/A,Michigan,6.2 ft,212,4.48,44.5,N/A,139,N/A,N/A,6,Cleveland Browns,Big 10
2020,Jon Runyan,OL,N/A,Michigan,6.4 ft,306,5.08,30.5,24,107,7.57,4.69,6,Green Bay Packers,Big 10
2020,Josh Metellus,S,N/A,Michigan,5.11 ft,209,4.55,36.5,20,124,6.94,4.4,6,Minnesota Vikings,Big 10
2020,Mike Onwenu,OL,N/A,Michigan,6.3 ft,344,N/A,N/A,26,N/A,N/A,N/A,6,New England Patriots,Big 10
2020,Shea Patterson,QB,N/A,Michigan,6.1 ft,212,4.71,31,N/A,116,7.14,4.5,N/A,N/A,Big 10
2020,Sean McKeon,TE,N/A,Michigan,6.5 ft,242,N/A,N/A,18,N/A,N/A,N/A,N/A,N/A,Big 10
2020,Lavert Hill,CB,N/A,Michigan,5.10 ft,190,N/A,N/A,21,N/A,N/A,N/A,N/A,N/A,Big 10
2020,Josiah Scott,CB,N/A,Michigan State,5.9 ft,185,4.42,N/A,17,N/A,N/A,N/A,4,Jacksonville Jaguars,Big 10
2020,Kenny Willekes,DL,N/A,Michigan State,6.3 ft,264,4.87,32.5,32,119,7.39,N/A,7,Minnesota Vikings,Big 10
2020,Brian Lewerke,QB,N/A,Michigan State,6.2 ft,213,4.95,31,N/A,113,7.14,4.4,N/A,N/A,Big 10
2020,Cody White,WR,N/A,Michigan State,6.3 ft,217,4.66,35.5,N/A,120,7.19,4.52,N/A,N/A,Big 10
2020,Raequan Williams,DL,N/A,Michigan State,6.4 ft,308,5.04,25.5,17,101,7.72,4.78,N/A,N/A,Big 10
2020,Darrell Stewart,WR,N/A,Michigan State,6.1 ft,212,N/A,35,15,117,N/A,N/A,N/A,N/A,Big 10
2020,Antoine Winfield Jr.,S,21,Minnesota,5.9 ft,203,4.45,36,N/A,124,N/A,N/A,2,Tampa Bay Buccaneers,Big 10
2020,Kamal Martin,LB,N/A,Minnesota,6.3 ft,240,N/A,N/A,N/A,N/A,N/A,N/A,5,Green Bay Packers,Big 10
2020,Tyler Johnson,WR,N/A,Minnesota,6.1 ft,206,N/A,N/A,N/A,N/A,N/A,N/A,5,Tampa Bay Buccaneers,Big 10
2020,Scottie Phillips,RB,N/A,Mississippi,5.8 ft,209,4.56,30,29,114,7.4,4.53,N/A,N/A,SEC
2020,Benito Jones,DL,N/A,Mississippi,6.1 ft,316,5.26,26.5,N/A,N/A,8.21,5.27,N/A,N/A,SEC
2020,Qaadir Sheppard,DL,N/A,Mississippi,6.3 ft,261,4.83,31.5,28,115,N/A,N/A,N/A,N/A,SEC
2020,Tyre Phillips,OL,23,Mississippi State,6.5 ft,331,5.37,25,22,93,8.17,5.11,3,Baltimore Ravens,SEC
2020,Chauncey Rivers,DL,N/A,Mississippi State,6.2 ft,262,4.97,30.5,20,106,7.33,4.7,N/A,N/A,SEC
2020,Darryl Williams,OL,N/A,Mississippi State,6.2 ft,304,5.23,25.5,23,102,7.88,4.76,N/A,N/A,SEC
2020,Albert Okwuegbunam,TE,21,Missouri,6.5 ft,258,4.49,N/A,N/A,N/A,N/A,N/A,4,Denver Broncos,SEC
2020,Dante Olson,LB,N/A,Montana,6.2 ft,237,4.88,42,15,124,7,4.32,N/A,N/A,Big Sky
2020,Malcolm Perry,WR,N/A,Navy,5.9 ft,186,4.63,36,10,122,7.12,4.31,7,Miami Dolphins,AAC
2020,Lamar Jackson,CB,N/A,Nebraska,6.2 ft,208,4.58,36.5,10,122,N/A,N/A,N/A,N/A,Big 12
2020,Jason Strowbridge,DL,N/A,North Carolina,6.4 ft,275,4.89,31,26,113,7.45,4.37,5,Miami Dolphins,ACC
2020,Larrell Murchison,DL,N/A,North Carolina State,6.2 ft,297,5.05,29,29,118,7.89,4.51,5,Tennessee Titans,ACC
2020,James Smith-Williams,DL,N/A,North Carolina State,6.4 ft,265,4.6,32,28,123,7.35,4.52,7,Washington Redskins,ACC
2020,Derrek Tuszka,DL,N/A,North Dakota State,6.4 ft,251,4.79,33.5,24,120,6.87,4.34,7,Denver Broncos,MVFC
2020,Cole Kmet,TE,20,Notre Dame,6.6 ft,262,4.7,37,N/A,123,7.44,4.41,2,Chicago Bears,Ind. (FBS)
