Position,Number by Position
Cornerback,19
Defensive Lineman,25
Kicker,1
Linebacker,25
Long Snapper,1
Offensive Lineman,34
Punter,6
Quarterback,11
Running Back,17
Safety,11
Tight End,15
Wide Receiver,35
Total,200
